Sample_ID,Genetic_Sex,Group_Name,Publication,Country,Region,Latitude,Longitude,Date_BC_AD_Start,Date_BC_AD_Median,Date_BC_AD_Stop,Date_C14,Age_Group
AH1.SG,F,Iran_TepeAbdulHosein_N.SG,BroushakiScience2016,Iran,Other region,34.188,48.369,-8250,-7975,-7700,,-8000 - -7000
AH2.SG,M,Iran_TepeAbdulHosein_N.SG,BroushakiScience2016,Iran,Other region,34.188,48.369,-8200,-7954,-7748,(MAMS-25472:8833±41),-8000 - -7000
AH4.SG,F,Iran_TepeAbdulHosein_N.SG,BroushakiScience2016,Iran,Other region,34.188,48.369,-8200,-7951,-7748,(MAMS-25473:8832±41),-8000 - -7000
I7527,F,Iran_GanjDareh_N,NarasimhanPattersonScience2019,Iran,Other region,34.45,48.116,-8200,-7950,-7700,,-8000 - -7000
ZHAG_BON004.A0101_Luk10,F,Turkey_Boncuklu_N,FeldmanNatureCommunications2019,Turkey,Other region,37.75,32.867,-8300,-7950,-7600,,-8000 - -7000
ZHAJ_BON034.A0101_Luk9,F,Turkey_Boncuklu_N,FeldmanNatureCommunications2019,Turkey,Other region,37.75,32.867,-8300,-7950,-7600,,-8000 - -7000
ZKO_BON001.A0101_Luk7,M,Turkey_Boncuklu_N,FeldmanNatureCommunications2019,Turkey,Other region,37.75,32.867,-8300,-7950,-7600,,-8000 - -7000
ZMOJ_BON014.A0101_Luk21,M,Turkey_Boncuklu_N,FeldmanNatureCommunications2019,Turkey,Other region,37.75,32.867,-8300,-7950,-7600,,-8000 - -7000
I1944,F,Iran_GanjDareh_N,NarasimhanPattersonScience2019,Iran,Other region,34.45,48.116,-8000,-7850,-7700,,-8000 - -7000
I1945,M,Iran_GanjDareh_N,NarasimhanPattersonScience2019,Iran,Other region,34.45,48.116,-8000,-7850,-7700,,-8000 - -7000
I1290,F,Iran_GanjDareh_N,LazaridisNature2016,Iran,Other region,34.45,48.116,-8168,-7843,-7605,(Poz-81100:8780±50),-8000 - -7000
KK1.SG,M,Georgia_Kotias.SG,JonesNatureCommunications2015,Georgia,Other region,42.28,43.28,-7941,-7725,-7589,(RTT-5246:8665±65);(OxA-28256:8745±40),-8000 - -7000
I4660,F,Serbia_IronGates_Mesolithic,MathiesonNature2018,Serbia,Southeastern Europe,44.534,22.05,-7938,-7689,-7586,(PSUAMS-2296:8676±58),-8000 - -7000
Hum1.SG,F,Norway_Mesolithic.SG,GuntherPLoSBiology2018,Norway,Other region,58.064,7.744,-7790,-7682,-7597,,-8000 - -7000
Hum2.SG,M,Norway_Mesolithic.SG,GuntherPLoSBiology2018,Norway,Other region,58.064,7.744,-7790,-7682,-7597,,-8000 - -7000
KFH2_KFH002.A0101,F,Israel_Middle_Late_PPNB,FeldmanNatureCommunications2019,Israel,Other region,32.704,36.468,-7728,-7635,-7589,(MAMS-31616:8638±24),-8000 - -7000
I6754,M,Wales_Mesolithic,BraceDiekmannNatureEcologyEvolution2019,United Kingdom,Britain and Ireland,51.633,-4.693,-7738,-7617,-7535,(UBA-32282:8597±54),-8000 - -7000
I1710,M,Jordan_PPNB,LazaridisNature2016,Jordan,Other region,31.988,35.976,-7740,-7596,-7521,(Poz-81098:8580±60),-8000 - -7000
I5234,F,Serbia_IronGates_Mesolithic,MathiesonNature2018,Serbia,Southeastern Europe,44.596,22.011,-9300,-7550,-5800,,-8000 - -7000
I5237,M,Serbia_IronGates_Mesolithic,MathiesonNature2018,Serbia,Southeastern Europe,44.596,22.011,-9300,-7550,-5800,,-8000 - -7000
I5409_published,F,Serbia_IronGates_Mesolithic_o_published,MathiesonNature2018,Serbia,Southeastern Europe,44.596,22.011,-9300,-7550,-5800,,-8000 - -7000
M95.SG,M,Romania_IronGates_Mesolithic.SG,GonzalesFortesCurrentBiology2017,Romania,Southeastern Europe,44.626,22.606,-7582,-7427,-7190,(OxA-8583:8380±80),-8000 - -7000
I4081_published,M,Romania_IronGates_Mesolithic_published,MathiesonNature2018,Romania,Southeastern Europe,44.517,22.722,-7579,-7420,-7191,(OxA-31595:8369±73),-8000 - -7000
I4582,F,Romania_IronGates_Mesolithic,MathiesonNature2018,Romania,Southeastern Europe,44.517,22.722,-7510,-7381,-7188,(OxA-31598:8305±50);(PSUAMS-1749:8300±40);(PSUAMS-1904:8335±45),-8000 - -7000
OC.SG,M,Romania_IronGates_Mesolithic.SG,GonzalesFortesCurrentBiology2017,Romania,Southeastern Europe,44.517,22.722,-7468,-7327,-7181,(MAMS-28615:8277±34),-8000 - -7000
I3025_all.SG,F,England_Mesolithic_all.SG,BraceDiekmannNatureEcologyEvolution2019,United Kingdom,Britain and Ireland,50.468,-3.503,-7474,-7309,-7085,(OxA-23812:8270±45),-8000 - -7000
I4630,M,Latvia_HG,MathiesonNature2018,Latvia,Other region,56.283,25.133,-7469,-7264,-7073,,-8000 - -7000
