IND	LAT	LON	TIME	ANCE1	ANCE2	ANCE3	ANCE4	ANCE5	ANCE6	ANCE7	ANCE8	ANCE9
Egypt1	30.1247803753521	31.2815671826899	0	0.009439	0.004839	0.196983	0.005923	0.005724	0.44818	1e-05	0.328893	1e-05
Egypt3	30.1399719753116	31.2681325526629	0	1e-05	0.017439	0.193736	0.027248	0.00519	0.439162	0.008503	0.308702	1e-05
Egypt7	30.0989235118777	31.2801435949933	0	0.008373	1e-05	0.149903	0.006637	0.00011	0.473666	0.002804	0.354951	0.003545
Egypt9	30.1472586680017	31.2030789618567	0	1e-05	0.019038	0.142424	0.014339	1e-05	0.471835	1e-05	0.343989	0.008346
Egypt10	30.1318299401365	31.2323850926198	0	1e-05	0.024937	0.16665	0.005492	0.001949	0.491454	1e-05	0.309488	1e-05
Egypt11	30.2169628087245	31.2239325357322	0	0.006539	0.016218	0.185227	0.014038	1e-05	0.447842	1e-05	0.323487	0.00663
Egypt12	30.1894049890153	31.329813928036	0	0.000679	0.0221	0.172101	0.00622	1e-05	0.484268	1e-05	0.306162	0.008449
Egypt1AQ172	31.1071401346568	31.4000115390588	0	0.000153	1e-05	0.150086	0.020864	1e-05	0.464684	0.007873	0.348324	0.007996
Egypt3AQ172	30.7667264779191	30.9797526915558	0	0.009332	0.000748	0.132998	0.0167	0.006435	0.501438	1e-05	0.321506	0.010833
Egypt5AQ172	31.1214804226626	31.4144200483058	0	1e-05	0.014679	0.154134	0.0038	0.000309	0.480558	0.008911	0.329358	0.008242
Egypt7AQ172	30.9872980475985	31.411653780397	0	0.006745	0.015016	0.14678	0.019029	0.003287	0.484076	1e-05	0.319062	0.005995
Egypt8AT113	30.9561763874814	31.3575234149769	0	0.001206	0.019453	0.181489	0.003005	0.003133	0.470962	1e-05	0.320731	1e-05
Egypt9AQ172	31.0403405876458	31.4108334428817	0	0.005835	0.004795	0.164417	0.015318	0.004814	0.477033	1e-05	0.320127	0.007653
Egypt9AQ177	31.0391064230446	31.3762914895732	0	1e-05	0.004445	0.168613	0.017459	0.002476	0.466507	1e-05	0.328287	0.012194
Egypt12AQ172	30.990943557499	31.3913005680032	0	0.001133	0.014096	0.158755	0.008835	0.005309	0.484734	1e-05	0.323921	0.003207
Egypt15AQ172	31.0719970514625	31.3361383292079	0	0.006685	1e-05	0.158031	0.007537	0.003975	0.489466	1e-05	0.326146	0.008141
Egypt17AQ176	31.1197532100882	30.9215634625778	0	1e-05	0.017089	0.151281	0.014682	0.006672	0.489663	0.007216	0.313378	1e-05
Egypt22TD21	31.0427759053279	31.3246086388547	0	0.006433	0.018343	0.147328	0.014944	0.009798	0.472358	0.007102	0.318043	0.005651
LIB13	32.789084131103	13.1826764454227	0	0.013918	1e-05	0.193046	0.024055	0.000122	0.48056	1e-05	0.269816	0.018463
LIB18	32.8916080282722	13.1703077360149	0	0.006279	1e-05	0.194923	0.032259	1e-05	0.466083	1e-05	0.300408	1.8e-05
LIB27	32.8463406158332	13.2529555625841	0	0.008599	1e-05	0.181803	0.013424	1e-05	0.503894	1e-05	0.281184	0.011067
LIB30	32.9183754594252	13.2141330782417	0	0.010374	1e-05	0.188272	0.039173	0.000308	0.461017	0.001881	0.298954	1e-05
LIB7	32.9501201258693	13.1398121118639	0	0.002448	0.000411	0.1875	0.026431	7e-05	0.518564	1e-05	0.255484	0.009081
Tunisian20A5	36.9125164973829	10.1296649025101	0	0.013677	0.014911	0.241233	0.025855	0.003364	0.492217	0.003143	0.205393	0.000206
Tunisian20B4	36.7842841530498	10.2590828932635	0	0.000513	0.018146	0.195084	0.040922	0.001408	0.494448	1e-05	0.242187	0.007281
Tunisian20C1	36.7955569720641	10.1652806513291	0	0.011269	1e-05	0.199769	0.027031	0.002213	0.492832	0.002416	0.262735	0.001725
Tunisian20C4	36.8929055946693	10.1631325773243	0	0.00643	1e-05	0.198581	0.049482	0.00257	0.529715	1e-05	0.209647	0.003556
Tunisian20D1	36.8858531812485	10.2694195521809	0	0.003402	0.007698	0.239562	0.039513	0.004234	0.473648	0.004359	0.226968	0.000617
