Sample_ID,search_x,search_y,search_z,field_x_mds2_retro_low,field_x_mds2_retro_default,field_x_mds2_retro_high,field_x_pca5_retro_low,field_x_pca5_retro_default,field_x_pca5_retro_high,field_y_mds2_retro_low,field_y_mds2_retro_default,field_y_mds2_retro_high,field_y_pca5_retro_low,field_y_pca5_retro_default,field_y_pca5_retro_high,field_z_mds2_retro_low,field_z_mds2_retro_default,field_z_mds2_retro_high,field_z_pca5_retro_low,field_z_pca5_retro_default,field_z_pca5_retro_high,ov_x_mds2_retro_low,ov_x_mds2_retro_default,ov_x_mds2_retro_high,ov_x_pca5_retro_low,ov_x_pca5_retro_default,ov_x_pca5_retro_high,ov_y_mds2_retro_low,ov_y_mds2_retro_default,ov_y_mds2_retro_high,ov_y_pca5_retro_low,ov_y_pca5_retro_default,ov_y_pca5_retro_high,ov_dist_mds2_retro_low,ov_dist_mds2_retro_default,ov_dist_mds2_retro_high,ov_dist_pca5_retro_low,ov_dist_pca5_retro_default,ov_dist_pca5_retro_high,ov_dist_se_mds2_retro_low,ov_dist_se_mds2_retro_default,ov_dist_se_mds2_retro_high,ov_dist_se_pca5_retro_low,ov_dist_se_pca5_retro_default,ov_dist_se_pca5_retro_high,ov_dist_sd_mds2_retro_low,ov_dist_sd_mds2_retro_default,ov_dist_sd_mds2_retro_high,ov_dist_sd_pca5_retro_low,ov_dist_sd_pca5_retro_default,ov_dist_sd_pca5_retro_high,ov_angle_deg_mds2_retro_low,ov_angle_deg_mds2_retro_default,ov_angle_deg_mds2_retro_high,ov_angle_deg_pca5_retro_low,ov_angle_deg_pca5_retro_default,ov_angle_deg_pca5_retro_high
I4630,5250,3785,-7253,4299,4413,4919,4219,4343,4761,3730,3762,3798,3880,3830,3814,-7634,-7503,-7395,-7634,-7503,-7395,-951,-837,-331,-1031,-907,-489,-54,-22,13,95,45,29,952,837,331,1035,908,489,20,35,57,17,39,73,101,178,287,86,197,368,266,268,272,275,272,273
WC1.SG,7614,2101,-7252,7687,7657,7639,7701,7671,7649,2114,2112,2118,2064,2068,2074,-7633,-7502,-7394,-7633,-7502,-7394,72,42,24,86,56,34,13,11,17,-36,-32,-26,74,44,30,94,65,44,3,4,0,4,4,3,19,23,0,20,20,16,79,75,55,113,120,127
Falkenstein,4249,2772,-7193,3517,3451,3433,4717,5071,4717,3184,3194,3152,2606,2382,2578,-7574,-7443,-7335,-7574,-7443,-7335,-731,-797,-815,468,822,468,412,422,380,-165,-389,-193,839,902,899,496,910,506,12,6,27,7,6,95,62,32,137,36,30,476,299,297,295,109,115,112
SF9.SG,4801,3824,-7194,4643,4931,5013,4805,5157,5161,3582,3628,3734,3194,2954,3292,-7575,-7444,-7336,-7575,-7444,-7336,-157,130,212,4,356,360,-242,-196,-90,-630,-870,-532,288,235,231,630,940,643,64,71,49,83,92,113,322,357,246,416,464,565,212,146,112,179,157,145
Chan.SG,2935,2338,-7131,5383,5381,5357,5457,5447,4547,2378,2372,2370,2342,2322,2352,-7512,-7381,-7273,-7512,-7381,-7273,2448,2446,2422,2522,2512,1612,39,33,31,3,-16,13,2448,2446,2422,2522,2512,1612,3,4,4,4,4,234,18,20,23,23,21,1172,89,89,89,89,90,89
R15.SG,4615,2102,-7127,3335,3389,3777,3347,3447,4451,3160,3086,2774,3182,3092,2350,-7508,-7377,-7269,-7508,-7377,-7269,-1279,-1225,-837,-1267,-1167,-163,1058,984,672,1080,990,248,1660,1572,1074,1665,1531,297,3,39,113,4,62,93,18,198,567,22,310,467,309,308,308,310,310,326
PER503.SG,3570,2566,-7092,3345,3479,3739,3343,3363,3413,3170,3048,2888,3170,3114,2954,-7473,-7342,-7234,-7473,-7342,-7234,-224,-90,169,-226,-206,-156,604,482,322,604,548,388,644,490,364,645,585,418,5,29,50,3,19,40,28,146,254,18,96,204,339,349,27,339,339,338
I5436,5317,2474,-7115,5325,5335,5337,5287,5311,5319,2484,2482,2486,2486,2484,2484,-7496,-7365,-7257,-7496,-7365,-7257,7,17,19,-30,-6,1,9,7,11,11,9,9,12,19,23,32,11,9,2,2,2,5,2,2,11,11,12,28,11,11,39,66,59,291,328,11
I4607,5317,2474,-6933,5317,5317,5321,5289,5289,5291,2468,2470,2474,2468,2466,2468,-7314,-7183,-7075,-7314,-7183,-7075,0,0,3,-28,-28,-26,-6,-4,0,-6,-8,-6,6,4,3,28,29,26,0,0,1,1,2,0,1,4,8,9,13,0,180,180,94,257,253,256
SF12.SG,4801,3824,-6936,4937,5041,4999,4967,5005,4973,3766,3770,3788,3714,3818,3836,-7317,-7186,-7078,-7317,-7186,-7078,136,240,198,166,204,172,-58,-54,-36,-110,-6,11,148,246,202,199,204,173,24,18,16,62,17,18,121,94,82,311,85,94,113,102,100,123,91,86
SF11.SG,4801,3824,-6960,5657,5889,5961,5617,5789,5943,3238,3158,3122,3234,3170,3092,-7341,-7210,-7102,-7341,-7210,-7102,856,1088,1160,816,988,1142,-586,-666,-702,-590,-654,-732,1038,1276,1356,1007,1185,1357,87,78,68,100,93,69,439,390,344,503,467,349,124,121,121,125,123,122
I5401,5293,2472,-6856,5291,5285,5287,5293,5291,5293,2466,2464,2466,2468,2468,2468,-7237,-7106,-6998,-7237,-7106,-6998,-2,-8,-6,0,-2,0,-5,-7,-5,-3,-3,-3,6,11,8,3,4,3,1,4,3,1,0,1,9,21,16,8,0,8,199,225,226,181,208,181
BAJ001_BAJ001.A0101,6762,1227,-6913,6673,6687,6693,6797,6787,6779,1478,1424,1400,1322,1310,1286,-7294,-7163,-7055,-7294,-7163,-7055,-88,-74,-68,35,25,17,251,197,173,95,83,59,266,210,186,101,87,61,46,46,49,2,3,4,232,234,249,14,16,21,340,339,338,20,17,16
I5876,6028,3146,-6903,4731,4783,4747,4699,4835,4881,3870,3882,3890,3858,3870,3888,-7284,-7153,-7045,-7284,-7153,-7045,-1296,-1244,-1280,-1328,-1192,-1146,724,736,744,712,724,742,1485,1446,1481,1507,1395,1366,44,29,15,26,12,8,220,147,78,130,61,42,299,300,300,298,301,302
M96.SG,5317,2474,-6870,5335,5347,5349,5317,5331,5335,2488,2494,2498,2468,2468,2468,-7251,-7120,-7012,-7251,-7120,-7012,17,29,31,0,13,17,13,19,23,-6,-6,-6,22,35,39,6,15,19,2,3,4,0,1,1,12,19,20,1,9,9,52,56,53,180,114,109
SBj.SG,4828,3884,-6831,4979,5005,4965,5035,4979,4921,3798,3816,3832,3726,3836,3856,-7212,-7081,-6973,-7212,-7081,-6973,151,177,137,207,151,93,-86,-68,-52,-158,-48,-28,174,190,147,261,159,97,17,17,19,66,19,19,89,89,98,334,98,99,119,110,110,127,107,106
I4655_published,5317,2474,-6797,5289,5289,5291,5363,5349,5283,2450,2464,2466,2678,2794,3028,-7178,-7047,-6939,-7178,-7047,-6939,-28,-28,-26,45,31,-34,-24,-10,-8,203,319,553,37,29,27,208,321,554,4,3,2,41,72,98,20,15,13,205,364,491,229,249,252,12,5,356
I4916,5293,2472,-6760,5287,5285,5287,5287,5287,5295,2464,2464,2466,2466,2466,2466,-7141,-7010,-6902,-7141,-7010,-6902,-6,-8,-6,-6,-6,1,-7,-7,-5,-5,-5,-5,9,11,8,8,8,6,3,4,3,3,3,3,19,21,16,16,16,18,217,225,226,226,226,162
I4870,5275,2457,-6749,5195,5193,5219,5189,5205,5221,2426,2434,2456,2422,2436,2452,-7130,-6999,-6891,-7130,-6999,-6891,-80,-82,-56,-86,-70,-54,-30,-22,0,-34,-20,-4,85,85,56,92,73,54,2,1,5,2,5,5,11,8,27,14,25,27,248,254,269,247,253,264
I1699,6761,1409,-6754,6703,6693,6715,6743,6743,6741,1368,1382,1364,1388,1378,1374,-7135,-7004,-6896,-7135,-7004,-6896,-57,-67,-45,-17,-17,-19,-41,-27,-45,-21,-31,-35,71,73,64,27,35,40,28,32,27,4,2,1,143,161,135,24,14,7,234,248,225,220,210,209
I0867,6694,1363,-6766,6615,6585,6573,6705,6699,6691,1502,1526,1534,1370,1370,1374,-7147,-7016,-6908,-7147,-7016,-6908,-78,-108,-120,11,5,-2,138,162,170,6,6,10,159,196,209,13,8,11,49,58,64,7,5,4,248,293,321,36,25,21,330,326,324,57,35,344
I5411,5317,2474,-6653,5323,5323,5335,5299,5293,5303,2484,2472,2476,2500,2486,2486,-7034,-6903,-6795,-7034,-6903,-6795,5,5,17,-18,-24,-14,9,-2,1,25,11,11,11,6,18,31,26,18,2,1,3,2,2,2,11,6,18,14,11,11,31,111,84,324,295,309
BDB001,4465,3134,-6690,4237,4593,4671,4929,4875,4937,2742,2592,2670,2458,2520,2518,-7071,-6940,-6832,-7071,-6940,-6832,-227,128,206,464,410,472,-391,-541,-463,-675,-613,-615,452,556,507,819,738,776,50,53,73,47,57,56,253,265,365,236,289,283,210,166,155,145,146,142
cth728.SG,6316,1921,-6595,6649,6565,6455,6221,6217,6199,1442,1584,1762,1804,1856,1896,-6976,-6845,-6737,-6976,-6845,-6737,333,249,139,-94,-98,-116,-479,-337,-159,-117,-65,-25,583,419,211,150,118,119,60,67,57,14,10,8,300,335,287,74,51,42,145,143,138,218,236,257
cth747.SG,6316,1921,-6549,6653,6547,6425,6501,6495,6485,1462,1640,1850,1932,1940,1950,-6930,-6799,-6691,-6930,-6799,-6691,337,231,109,185,179,169,-459,-281,-71,10,18,28,569,364,130,185,180,171,58,64,41,27,24,18,291,323,209,137,122,90,143,140,123,86,84,80
I4877,5275,2457,-6529,5225,5239,5245,5237,5241,5247,2460,2468,2468,2466,2466,2468,-6910,-6779,-6671,-6910,-6779,-6671,-50,-36,-30,-38,-34,-28,3,11,11,9,9,11,50,37,32,39,35,30,5,1,0,2,0,1,25,9,4,14,3,5,273,287,290,283,284,291
CCH285.SG,6316,1921,-6500,6331,6277,6183,6143,6103,6163,1792,1850,1986,1878,1904,1896,-6881,-6750,-6642,-6881,-6750,-6642,15,-38,-132,-172,-212,-152,-129,-71,64,-43,-17,-25,130,81,147,177,213,154,52,48,33,59,64,55,263,242,165,298,322,278,173,208,295,255,265,260
CCH294.SG,6316,1921,-6555,6633,6579,6461,6379,6367,6359,1490,1562,1726,1852,1872,1902,-6936,-6805,-6697,-6936,-6805,-6697,317,263,145,63,51,43,-431,-359,-195,-69,-49,-19,535,445,243,93,71,47,61,65,65,9,5,4,306,328,327,45,28,22,143,143,143,137,133,114
CCH311.SG,6316,1921,-6485,6485,6439,6391,6265,6269,6271,1732,1810,1866,1862,1888,1906,-6866,-6735,-6627,-6866,-6735,-6627,169,123,75,-50,-46,-44,-189,-111,-55,-59,-33,-15,254,166,93,77,57,47,60,58,49,11,8,6,301,290,248,56,43,32,138,132,126,220,234,250
