ItemID,IndividualID,SiteID,PhaseID,RiteID,GraveGoods,Object,Material,MaterialType
Item-10326,C04756,S10527,BUDAK1,R02453,1,vessel,clay,clay: pottery
Item-10326,C04756,S10527,BUDAK1,R02453,1,vessel,clay,clay: pottery
Item-10326,C04756,S10527,BUDAK1,R02453,1,,tooth,animal
Item-10327,C04760,S10527,BUDAK1,R02457,1,bead,,
Item-10327,C04760,S10527,BUDAK1,R02457,1,vessel,clay,clay: pottery
Item-10327,C04760,S10527,BUDAK1,R02457,1,bead,metal,copper
Item-10327,C04760,S10527,BUDAK1,R02457,1,bead,metal,copper
Item-10327,C04760,S10527,BUDAK1,R02457,1,bead,stone,limestone
Item-10327,C04760,S10527,BUDAK1,R02457,1,blade,stone,radiolarite
Item-10327,C04760,S10527,BUDAK1,R02457,1,flake,stone,radiolarite
Item-10327,C04760,S10527,BUDAK1,R02457,1,trapeze,stone,flint/chert
Item-10327,C04760,S10527,BUDAK1,R02457,1,debitage,stone,limnic quartzite
Item-10327,C04760,S10527,BUDAK1,R02457,1,,shell,animal: mollusca
Item-10327,C04760,S10527,BUDAK1,R02457,1,bead,shell,animal: mollusca
Item-10328,C04761,S10527,BUDAK1,R02458,1,vessel,clay,clay: pottery
Item-10330,C04763,S10527,BUDAK1,R02460,1,bead,,
Item-10330,C04763,S10527,BUDAK1,R02460,1,vessel,clay,clay: pottery
Item-10330,C04763,S10527,BUDAK1,R02460,1,,shell,
Item-10330,C04763,S10527,BUDAK1,R02460,1,plaque,shell,
Item-10330,C04763,S10527,BUDAK1,R02460,1,,stone,
Item-10332,C04767,S10527,BUDAK1,R02464,1,vessel,clay,clay: pottery
Item-10332,C04767,S10527,BUDAK1,R02464,1,vessel,clay,clay: pottery
Item-10332,C04767,S10527,BUDAK1,R02464,1,vessel,clay,clay: pottery
Item-10332,C04767,S10527,BUDAK1,R02464,1,bead,stone,limestone
Item-10334,C04769,S10527,BUDAK1,R02466,1,segment,stone,hornstone
Item-10334,C04769,S10527,BUDAK1,R02466,1,bead,stone,limestone
Item-10334,C04769,S10527,BUDAK1,R02466,1,bead,stone,limestone
Item-10334,C04769,S10527,BUDAK1,R02466,1,bead,shell,animal: mollusca
Item-10335,C04770,S10527,BUDAK1,R02467,1,vessel,clay,clay: pottery
Item-10335,C04770,S10527,BUDAK1,R02467,1,vessel,clay,clay: pottery
Item-10335,C04770,S10527,BUDAK1,R02467,1,vessel,clay,clay: pottery
Item-10335,C04770,S10527,BUDAK1,R02467,1,vessel,clay,clay: pottery
Item-10335,C04770,S10527,BUDAK1,R02467,1,bead,stone,limestone
Item-10336,C04771,S10527,BUDAK1,R02468,1,bead,stone,limestone
Item-10336,C04771,S10527,BUDAK1,R02468,1,blade,stone,radiolarite
Item-10338,C04773,S10527,BUDAK1,R02470,1,vessel,clay,clay: pottery
Item-10338,C04773,S10527,BUDAK1,R02470,1,plaque,metal,copper
Item-10338,C04773,S10527,BUDAK1,R02470,1,,stone,
Item-10339,C04774,S10527,BUDAK1,R02471,1,vessel,clay,clay: pottery
Item-10340,C04775,S10527,BUDAK1,R02472,1,vessel,clay,clay: pottery
Item-10340,C04775,S10527,BUDAK1,R02472,1,vessel,clay,clay: pottery
Item-10340,C04775,S10527,BUDAK1,R02472,1,,shell,animal: mollusca
Item-10340,C04775,S10527,BUDAK1,R02472,1,,shell,animal: mollusca
Item-10342,C04777,S10527,BUDAK1,R02474,1,vessel,clay,clay: pottery
Item-10342,C04777,S10527,BUDAK1,R02474,1,vessel,clay,clay: pottery
Item-10342,C04777,S10527,BUDAK1,R02474,1,bead,metal,copper
Item-10342,C04777,S10527,BUDAK1,R02474,1,bead,metal,copper
Item-10342,C04777,S10527,BUDAK1,R02474,1,bead,stone,limestone
Item-10342,C04777,S10527,BUDAK1,R02474,1,bead,shell,animal: mollusca
Item-10345,C04780,S10527,BUDAK1,R02477,1,vessel,clay,clay: pottery
Item-10349,C04784,S10527,BUDAK1,R02481,1,vessel,clay,clay: pottery
Item-10349,C04784,S10527,BUDAK1,R02481,1,scraper: side,stone,radiolarite
Item-10349,C04784,S10527,BUDAK1,R02481,1,,stone,
Item-10350,C04785,S10527,BUDAK1,R02482,1,vessel,clay,clay: pottery
Item-10350,C04785,S10527,BUDAK1,R02482,1,trapeze,stone,limnic quartzite
Item-10350,C04785,S10527,BUDAK1,R02482,1,,shell,animal: mollusca
Item-10350,C04785,S10527,BUDAK1,R02482,1,bead,shell,animal: mollusca
Item-10350,C04785,S10527,BUDAK1,R02482,1,bead,shell,animal: mollusca
Item-10351,C04786,S10527,BUDAK1,R02483,1,pebble,stone,radiolarite
Item-10352,C04787,S10527,BUDAK1,R02484,1,bead,,
Item-10352,C04787,S10527,BUDAK1,R02484,1,bead,,
Item-10352,C04787,S10527,BUDAK1,R02484,1,bead,metal,copper
Item-10352,C04787,S10527,BUDAK1,R02484,1,bead,stone,limestone
Item-10352,C04787,S10527,BUDAK1,R02484,1,,shell,animal: mollusca
Item-10352,C04787,S10527,BUDAK1,R02484,1,,shell,animal: mollusca
Item-10352,C04787,S10527,BUDAK1,R02484,1,plaque,,animal: mollusca
Item-10352,C04787,S10527,BUDAK1,R02484,1,plaque,shell,animal: mollusca
Item-10353,C04788,S10527,BUDAK1,R02485,1,vessel,clay,clay: pottery
Item-10354,C04789,S10527,BUDAK1,R02486,1,vessel,clay,clay: pottery
Item-10354,C04789,S10527,BUDAK1,R02486,1,scraper: side,stone,radiolarite
Item-10354,C04789,S10527,BUDAK1,R02486,1,bead,shell,animal: mollusca
Item-10356,C04791,S10527,BUDAK1,R02488,1,vessel,clay,clay: pottery
Item-10356,C04791,S10527,BUDAK1,R02488,1,vessel,clay,clay: pottery
Item-10356,C04791,S10527,BUDAK1,R02488,1,vessel,clay,clay: pottery
Item-10358,C04793,S10527,BUDAK1,R02490,1,vessel,clay,clay: pottery
Item-10358,C04793,S10527,BUDAK1,R02490,1,bead,stone,limestone
Item-10360,C04795,S10527,BUDAK1,R02492,1,blade,stone,limnic quartzite
Item-10360,C04795,S10527,BUDAK1,R02492,1,blade,stone,flint/chert
Item-10361,C04797,S10527,BUDAK1,R02494,1,bead,stone,limestone
Item-10361,C04797,S10527,BUDAK1,R02494,1,,shell,animal: mollusca
Item-10361,C04797,S10527,BUDAK1,R02494,1,bead,shell,animal: mollusca
Item-10362,C04799,S10527,BUDAK1,R02496,1,vessel,clay,clay: pottery
Item-10362,C04799,S10527,BUDAK1,R02496,1,vessel,clay,clay: pottery
Item-10362,C04799,S10527,BUDAK1,R02496,1,vessel,clay,clay: pottery
Item-10364,C04801,S10527,BUDAK1,R02498,1,,bone,
Item-10364,C04801,S10527,BUDAK1,R02498,1,implement,bone,animal
Item-10364,C04801,S10527,BUDAK1,R02498,1,vessel,clay,clay: pottery
Item-10364,C04801,S10527,BUDAK1,R02498,1,vessel,clay,clay: pottery
Item-10364,C04801,S10527,BUDAK1,R02498,1,bead,stone,limestone
Item-10364,C04801,S10527,BUDAK1,R02498,1,bead,stone,limestone
Item-10364,C04801,S10527,BUDAK1,R02498,1,bead,stone,
Item-10366,C04803,S10527,BUDAK1,R02500,1,plaque,antler,
Item-10366,C04803,S10527,BUDAK1,R02500,1,vessel,clay,clay: pottery
Item-10366,C04803,S10527,BUDAK1,R02500,1,vessel,clay,clay: pottery
Item-10366,C04803,S10527,BUDAK1,R02500,1,vessel,clay,clay: pottery
Item-10366,C04803,S10527,BUDAK1,R02500,1,vessel,clay,clay: pottery
Item-10366,C04803,S10527,BUDAK1,R02500,1,trapeze,stone,limnic quartzite
Item-10366,C04803,S10527,BUDAK1,R02500,1,trapeze,stone,radiolarite
Item-10366,C04803,S10527,BUDAK1,R02500,1,blade,stone,radiolarite
Item-10366,C04803,S10527,BUDAK1,R02500,1,blade,stone,radiolarite
Item-10366,C04803,S10527,BUDAK1,R02500,1,trapeze,stone,limnic quartzite
Item-10368,C04805,S10527,BUDAK1,R02502,1,bead,,
Item-10368,C04805,S10527,BUDAK1,R02502,1,bead,metal,copper
Item-10368,C04805,S10527,BUDAK1,R02502,1,point,stone,radiolarite
Item-10368,C04805,S10527,BUDAK1,R02502,1,blade,stone,radiolarite
Item-10368,C04805,S10527,BUDAK1,R02502,1,bead,shell,animal: mollusca
Item-10368,C04805,S10527,BUDAK1,R02502,1,bead,shell,animal: mollusca
Item-10368,C04805,S10527,BUDAK1,R02502,1,plaque,shell,animal: mollusca
Item-10369,C04806,S10527,BUDAK1,R02503,1,vessel,clay,clay: pottery
Item-10370,C04807,S10527,BUDAK1,R02504,1,bead,stone,limestone
Item-10372,C04809,S10527,BUDAK1,R02506,1,blade,,
Item-10372,C04809,S10527,BUDAK1,R02506,1,axe,antler,
Item-10372,C04809,S10527,BUDAK1,R02506,1,,bone: tibia,animal: small ruminant
Item-10372,C04809,S10527,BUDAK1,R02506,1,,bone: tibia,animal: small ruminant
Item-10372,C04809,S10527,BUDAK1,R02506,1,flake,stone,radiolarite
Item-10372,C04809,S10527,BUDAK1,R02506,1,debitage: chip,stone,radiolarite
Item-10372,C04809,S10527,BUDAK1,R02506,1,,stone,chalk
Item-10372,C04809,S10527,BUDAK1,R02506,1,flake,stone,hornstone
Item-10372,C04809,S10527,BUDAK1,R02506,1,end-scraper,stone,flint/chert
Item-10372,C04809,S10527,BUDAK1,R02506,1,axe,stone,serpentinite
Item-10372,C04809,S10527,BUDAK1,R02506,1,,stone,haematite
Item-10372,C04809,S10527,BUDAK1,R02506,1,,stone,
Item-10372,C04809,S10527,BUDAK1,R02506,1,,stone,
Item-10372,C04809,S10527,BUDAK1,R02506,1,blade,stone,flint/chert
Item-10372,C04809,S10527,BUDAK1,R02506,1,blade,stone,flint/chert
Item-10372,C04809,S10527,BUDAK1,R02506,1,blade,stone,flint
Item-10372,C04809,S10527,BUDAK1,R02506,1,segment,stone,radiolarite
Item-10372,C04809,S10527,BUDAK1,R02506,1,burin,stone,radiolarite
Item-10372,C04809,S10527,BUDAK1,R02506,1,segment,stone,limnic quartzite
Item-10372,C04809,S10527,BUDAK1,R02506,1,segment,stone,flint
