IndividualID,SiteID,Country,Latitude,Longitude,Period,PhaseID,gaussianModelMu,gaussianModelSigma,YearBP,RiteID,Culture,Sex,DepositionType,Dismembered,Head,BodyPositioning,BurialSide,BurialOrientationMin,BurialOrientationMax,GraveGoods,Ochre,DepositionType_bog body,DepositionType_cenotaph,DepositionType_cremation,DepositionType_disarticulated,DepositionType_inhumation,DepositionType_inhumation: carbonized,BodyPositioning_crouched,BodyPositioning_extended,"BodyPositioning_extended, rhomboid",BodyPositioning_heap,BodyPositioning_inside a vessel,BodyPositioning_irregular,BodyPositioning_prone,BodyPositioning_scattered,BodyPositioning_sitting,BurialSide_back,BurialSide_back/left,BurialSide_back/right,BurialSide_bottom,BurialSide_front,BurialSide_front/left,BurialSide_front/right,BurialSide_left,BurialSide_left/back,BurialSide_left/front,BurialSide_right,BurialSide_right/back,BurialSide_right/front,CitationID,aDNAID,Num,ANCE1_v2,ANCE2_v2,ANCE3_v2,ANCE4_v2,ANCE5_v2,ANCE6_v2,ANCE7_v2,ANCE8_v2,ANCE9_v2,mobility_MDS_250y_retrospective,mobility_PCA_250y_retrospective,AncestryMatch_distance,MobilityMatch_distance,aDNACitationID,time_added,user_added,time_last_update,user_last_update
C00001,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00001,Linearbandkeramik,1,inhumation,0,1,crouched,left,180,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I16239,3096,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00002,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00002,Linearbandkeramik,0,inhumation,0,1,crouched,left/front,126,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,pavúk1972a,I18091,3143,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00003,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00003,Linearbandkeramik,0.25,inhumation,0,1,crouched,left,106,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I17344,3132,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00004,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00004,Linearbandkeramik,0,inhumation,0,1,crouched,left,178,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,1,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00005,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00005,Linearbandkeramik,0.5,inhumation,0,1,crouched,left,140,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I17345,3133,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00006,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00006,Linearbandkeramik,1,inhumation,0,1,crouched,left/front,166,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,pavúk1972a,I18093,3144,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00007,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00007,Linearbandkeramik,0,inhumation,,,,,90,180,,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,pavúk1972a,I17346,3134,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00008,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00008,Linearbandkeramik,0,inhumation,0,1,crouched,left/back,119,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,pavúk1972a,I18106,3148,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00009,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00009,Linearbandkeramik,0,inhumation,0,1,crouched,left/back,130,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,pavúk1972a,I16246,3101,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00010,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00010,Linearbandkeramik,0.5,cenotaph,,,,,135,180,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,pavúk1972a,,2,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00011,S10567,Slovakia,48.28,18.09,Eneolithic,NITRHK2,5972,141,5972,R00011,Baden,0.5,inhumation,,,,,,,,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,pavúk1972a,,3,,,,,,,,,,306.75,263,542.66178095277,229.16240552513,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00012,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00012,Linearbandkeramik,0.5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pavúk1972a,,4,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00013,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00013,Linearbandkeramik,1,inhumation,0,1,,left,159,,,0,0,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,5,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00014,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00014,Linearbandkeramik,0,inhumation,0,1,crouched,left,90,180,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I16008,3073,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00015,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00015,Linearbandkeramik,1,inhumation,,1,crouched,left,145,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I16241,3098,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00016,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00016,Linearbandkeramik,0.5,inhumation,,,,,,,0,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,pavúk1972a,I17545,3137,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00017,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00017,Linearbandkeramik,0,inhumation,0,1,crouched,left,149,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I18094,3145,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00018,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00018,Linearbandkeramik,1,inhumation,0,1,crouched,left,130,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,6,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
