aDNAID,SiteID,Latitude,Longitude,PhaseID,gaussianModelMu,gaussianModelSigma,aDNACitationID,DepositionType,RiteID,IndividualID,Dismembered,Head,BodyPositioning,BurialSide,BurialOrientationMin,BurialOrientationMax,GraveGoods,Ochre,CitationID,time_added,user_added,time_last_update,user_last_update,DepositionType_bog body,DepositionType_cenotaph,DepositionType_cremation,DepositionType_disarticulated,DepositionType_inhumation,DepositionType_inhumation: carbonized,BodyPositioning_crouched,BodyPositioning_extended,"BodyPositioning_extended, rhomboid",BodyPositioning_heap,BodyPositioning_inside a vessel,BodyPositioning_irregular,BodyPositioning_prone,BodyPositioning_scattered,BodyPositioning_sitting,BurialSide_back,BurialSide_back/left,BurialSide_back/right,BurialSide_bottom,BurialSide_front,BurialSide_front/left,BurialSide_front/right,BurialSide_left,BurialSide_left/back,BurialSide_left/front,BurialSide_right,BurialSide_right/back,BurialSide_right/front,Num,TIME,ANCE1,ANCE2,ANCE3,ANCE4,ANCE5,ANCE6,ANCE7,ANCE8,ANCE9,ov_dist_mds2_retro_default,ov_dist_pca5_retro_default,Date_BP_Median,YearBP,MobilityMatch_distance,AncestryMatch_distance,EHG,WHG,LVN,CHG
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00004,C00004,0,1,crouched,left,178,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,cenotaph,R00010,C00010,,,,,135,180,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK2,5972,141,,inhumation,R00011,C00011,,,,,,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,3,,0.00478,0.010949,0.006094,0.103342,0.002478,0.826169,1e-05,0.046167,1e-05,504,770,,5972,229.16240552513,542.661780952771,0.000239322578293965,0.255193655896924,0.824536124738897,0
,S10567,48.28,18.09,NITRHK1,7052,102,,,R00012,C00012,,,,,,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00013,C00013,0,1,,left,159,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,5,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00018,C00018,0,1,crouched,left,130,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00020,C00020,0,1,crouched,left,158,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00028,C00028,0,1,crouched,left,0,90,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00031,C00031,,,crouched,left,90,180,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00032,C00032,0,1,crouched,left,111,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00034,C00034,0,1,crouched,left,168,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00035,C00035,0,1,crouched,left,90,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00037,C00037,0,1,crouched,left,146,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00041,C00041,0,1,crouched,left/back,158,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00043,C00043,0,1,crouched,right,137,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00046,C00046,,,crouched,,90,180,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,16,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00051,C00051,,,crouched,left,45,135,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00057,C00057,0,1,crouched,left,136,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00058,C00058,0,1,crouched,back,158,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00060,C00060,,1,,left,90,180,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,20,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00061,C00061,0,1,crouched,left/front,145,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00063,C00063,0,1,crouched,left,151,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00064,C00064,0,1,crouched,left,139,,,1,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00065,C00065,0,1,crouched,left/back,139,,,1,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00069,C00069,0,1,crouched,left/front,109,,,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00072,C00072,0,1,crouched,left/back,169,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10567,48.28,18.09,NITRHK1,7052,102,,inhumation,R00075,C00075,0,1,crouched,left,171,,0,0,pavúk1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,,0.000132,1e-05,0.001182,0.054149,0.009331,0.896523,1e-05,0.038639,2.4e-05,390,368,,7052,91.7860677232503,182.364451666561,0.00589132325046298,0.1731015285623,0.692285651465644,0.00368277130033468
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00077,C00077,,,,,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,28,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00078,C00078,,,,,,,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,29,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,cremation,R00079,C00079,,,,,,,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,30,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00080,C00080,,,crouched,right,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00081,C00081,,,crouched,,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,32,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00082,C00082,,1,crouched,,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,33,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
