"SiteID","Latitude","Longitude","PhaseID","gaussianModelMu","gaussianModelSigma","aDNAID","aDNACitationID","DepositionType","RiteID","IndividualID","Dismembered","Head","BodyPositioning","BurialSide","BurialOrientationMin","BurialOrientationMax","GraveGoods","Ochre","CitationID","time_added","user_added","time_last_update","user_last_update"
"S10567","48.280","18.090","NITRHK1","7052","102","I16239","gelab2023a","inhumation","R00001","C00001","0","1","crouched","left","180",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I18091","gelab2023a","inhumation","R00002","C00002","0","1","crouched","left/front","126",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17344","gelab2023a","inhumation","R00003","C00003","0","1","crouched","left","106",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00004","C00004","0","1","crouched","left","178",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17345","gelab2023a","inhumation","R00005","C00005","0","1","crouched","left","140",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I18093","gelab2023a","inhumation","R00006","C00006","0","1","crouched","left/front","166",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17346","gelab2023a","inhumation","R00007","C00007",\N,\N,\N,\N,"90","180",\N,"1","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I18106","gelab2023a","inhumation","R00008","C00008","0","1","crouched","left/back","119",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16246","gelab2023a","inhumation","R00009","C00009","0","1","crouched","left/back","130",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"cenotaph","R00010","C00010",\N,\N,\N,\N,"135","180",\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
