IndividualID;Culture;Period
C03006;\N;Neolithic
C03007;\N;Neolithic
C03008;\N;Neolithic
C03009;\N;Neolithic
C03010;\N;Neolithic
C03011;\N;Neolithic
C03012;\N;Neolithic
C03013;\N;Neolithic
C03014;\N;Neolithic
C03015;\N;Neolithic
C03016;\N;Neolithic
C03022;\N;Neolithic
C03023;\N;Neolithic
C03024;\N;Neolithic
C03025;\N;Neolithic
C03026;\N;Neolithic
C03027;\N;Neolithic
C03028;\N;Neolithic
C03029;\N;Neolithic
C03030;\N;Bronze Age
C03031;\N;Bronze Age
C03456;\N;Bronze Age
C03457;\N;Bronze Age
C03458;\N;Bronze Age
C03459;\N;Bronze Age
C03460;\N;Bronze Age
C03461;\N;Neolithic
C03462;\N;Neolithic
C03463;\N;Neolithic
C03464;\N;Eneolithic
C03465;\N;Eneolithic
C03466;\N;Bronze Age
C03467;\N;Bronze Age
C03468;\N;Iron Age
C03490;\N;Bronze Age
C03491;\N;Bronze Age
C03492;\N;Bronze Age
C03493;\N;Bronze Age
C03506;\N;Neolithic
C03507;\N;Neolithic
C03508;\N;Neolithic
C03509;\N;Neolithic
C03510;\N;Neolithic
C03511;\N;Bronze Age
C03512;\N;Bronze Age
C03513;\N;Bronze Age
C03514;\N;Bronze Age
C03515;\N;Neolithic
C03516;\N;Eneolithic
C03517;\N;Eneolithic
C03518;\N;Eneolithic
C03519;\N;Eneolithic
C03520;\N;Eneolithic
C03521;\N;Eneolithic
C03522;\N;Eneolithic
C03523;\N;Eneolithic
C03524;\N;Eneolithic
C03525;\N;Eneolithic
C03526;\N;Eneolithic
C03527;\N;Eneolithic
C03528;\N;Eneolithic
C03529;\N;Eneolithic
C03530;\N;Eneolithic
C03531;\N;Eneolithic
C03532;\N;Eneolithic
C03533;\N;Eneolithic
C03534;\N;Eneolithic
C03535;\N;Eneolithic
C03536;\N;Eneolithic
C03537;\N;Eneolithic
C03538;\N;Eneolithic
C03539;\N;Eneolithic
C03540;\N;Eneolithic
