Run,Model,Observed,Predicted,Delta
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,1,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,1,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,1,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,1,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,1,0
1,baseline + LVN,1,1,0
1,baseline + LVN,1,1,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,1,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,1,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,1,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,1,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,1,-1
1,baseline + LVN,1,1,0
1,baseline + LVN,1,1,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,0,0
1,baseline + LVN,1,0,1
1,baseline + LVN,0,0,0
1,baseline + LVN,0,1,-1
1,baseline + LVN,0,1,-1
