Difference,Culture1,Culture2,mean,mode,sd,LB,UB,Significant
Baden/Linearbandkeramik,Baden,Linearbandkeramik,-21.6208864489616,-22.2295408825904,7.99412010050943,-37.3078723818856,-6.21747876208217,Yes
Baden/Lažňany,Baden,Lažňany,-50.4552893752923,-50.0511428094803,11.273244049475,-72.913790430165,-28.7109226868492,Yes
Baden/Sopot,Baden,Sopot,177.305956390553,181.093308025118,79.2862993022793,39.4545089653876,350.213409643086,Yes
Baden/Bell Beaker,Baden,Bell Beaker,-80.7503257558147,-82.7738572157918,10.7213288200712,-102.240305930091,-60.165599660074,Yes
Baden/Únětice,Baden,Únětice,-53.576892590397,-53.6681924667169,21.0512828919993,-93.086645523028,-10.652566923377,Yes
Baden/Corded Ware,Baden,Corded Ware,57.0688046210509,34.5817596322917,105.074031013836,-79.9011096304715,253.326109444192,No
Baden/Dnieper-Donets,Baden,Dnieper-Donets,-5.10713008558385,-6.18042203246419,9.48985847787247,-24.3120130332874,12.8581810381667,No
Baden/Trichterbecher,Baden,Trichterbecher,67.93758261319,73.5902710408548,39.3131044167077,-20.2835305688102,144.629955467914,No
Baden/Baltic Meso-Neolithic,Baden,Baltic Meso-Neolithic,-46.3784146403426,-41.3970704115964,23.2967426807777,-94.0796407622489,-1.30943453138466,Yes
Baltic Meso-Neolithic/Linearbandkeramik,Baltic Meso-Neolithic,Linearbandkeramik,-67.9435896869899,-65.7762810855899,23.1523491319526,-112.493964532048,-21.8228685214318,Yes
Baltic Meso-Neolithic/Lažňany,Baltic Meso-Neolithic,Lažňany,-96.2230112743402,-96.7462637437183,24.4401473745126,-143.783707776466,-48.075438255321,Yes
Baltic Meso-Neolithic/Sopot,Baltic Meso-Neolithic,Sopot,131.2681351245,134.528252873161,82.7456027966694,-23.8039521237119,290.875704744573,No
Baltic Meso-Neolithic/Bell Beaker,Baltic Meso-Neolithic,Bell Beaker,-127.294003281954,-123.460308626669,24.3719352283394,-172.528459832013,-76.8521421093663,Yes
Baltic Meso-Neolithic/Únětice,Baltic Meso-Neolithic,Únětice,-99.6760523534854,-102.258168326481,30.5453110202138,-160.857875834744,-39.8540288757171,Yes
Baltic Meso-Neolithic/Corded Ware,Baltic Meso-Neolithic,Corded Ware,11.0651697507561,-7.60867318289554,106.335969649897,-127.803982788392,204.774607810595,No
Baltic Meso-Neolithic/Dnieper-Donets,Baltic Meso-Neolithic,Dnieper-Donets,-40.9797544731416,-42.8107132920632,23.6333065752493,-85.4132276212561,7.30125664043502,No
Baltic Meso-Neolithic/Trichterbecher,Baltic Meso-Neolithic,Trichterbecher,-113.877921421122,-119.454287639543,46.1174040345053,156.718171743014,350.466184317874,Yes
Bell Beaker/Linearbandkeramik,Bell Beaker,Linearbandkeramik,59.1139890651915,59.2745069921171,11.2934205355524,36.950949329959,81.8918303045328,Yes
Bell Beaker/Lažňany,Bell Beaker,Lažňany,30.1214523337222,31.3789766715741,13.6356858670345,3.65169097224192,57.069441585642,Yes
Bell Beaker/Sopot,Bell Beaker,Sopot,-102.296618402302,-100.634849669579,79.5834257975856,122.036555087077,72.5225844166458,Yes
Bell Beaker/Únětice,Bell Beaker,Únětice,-27.6332380095949,-28.9080128061059,22.6568987607703,-71.0389224630084,17.8524598264636,No
