Comparison,Culture1,Culture2,mean,mode,sd,LB,UB,Overlapping
Baden/Linearbandkeramik,Baden,Linearbandkeramik,-43.28,-43.25,8.23,-59.25,-27.27,Yes
Baden/Lažňany,Baden,Lažňany,-50.53,-48.82,11.19,-72.85,-28.79,Yes
Baden/Sopot,Baden,Sopot,-179.75,161.16,79.28,38.12,349.93,Yes
Baden/Bell Beaker,Baden,Bell Beaker,-81.07,-81.59,11.54,-102.24,-57.3,Yes
Baden/Únětice,Baden,Únětice,-53.18,-57.35,21.09,-93.95,-11.83,Yes
Baden/Corded Ware,Baden,Corded Ware,76.53,42.66,108.17,-57.59,272.65,No
Baden/Dnieper-Donets,Baden,Dnieper-Donets,-5.08,-3.82,9.8,-24.45,14.37,No
Baden/Trichterbecher,Baden,Trichterbecher,-51.51,-51.27,37.13,-126.18,36.25,No
Baden/Baltic Meso-Neolithic,Baden,Baltic Meso-Neolithic,-45.66,-40.36,20.38,-84.5,-4.65,Yes
Baltic Meso-Neolithic/Linearbandkeramik,Baltic Meso-Neolithic,Linearbandkeramik,-89.01,-89.33,20.77,-129.82,-46.64,Yes
Baltic Meso-Neolithic/Lažňany,Baltic Meso-Neolithic,Lažňany,-95.89,-94.9,22.04,-138.88,-53.15,Yes
Baltic Meso-Neolithic/Sopot,Baltic Meso-Neolithic,Sopot,135.04,131.47,81.67,-16.21,295.53,No
Baltic Meso-Neolithic/Bell Beaker,Baltic Meso-Neolithic,Bell Beaker,-126.66,-129.96,22.09,-169.34,-82.64,Yes
Baltic Meso-Neolithic/Únětice,Baltic Meso-Neolithic,Únětice,-98.6,-91.54,28.22,-153.74,-43.08,Yes
Baltic Meso-Neolithic/Corded Ware,Baltic Meso-Neolithic,Corded Ware,31.28,4.35,109.36,-115.23,215.97,No
Baltic Meso-Neolithic/Dnieper-Donets,Baltic Meso-Neolithic,Dnieper-Donets,-40.41,-38.69,21.67,-81.32,3.46,No
Baltic Meso-Neolithic/Trichterbecher,Baltic Meso-Neolithic,Trichterbecher,6.64,15.86,41.22,-86.62,90.34,No
Bell Beaker/Linearbandkeramik,Bell Beaker,Linearbandkeramik,37.85,38.46,12.12,14.12,61.7,Yes
Bell Beaker/Lažňany,Bell Beaker,Lažňany,30.83,29.61,14.4,3.39,60.04,Yes
Bell Beaker/Sopot,Bell Beaker,Sopot,-98.13,-115.95,79.65,113.57,64.5,No
Bell Beaker/Únětice,Bell Beaker,Únětice,-27.83,-28.27,22.6,-71.86,17.39,No
Bell Beaker/Corded Ware,Bell Beaker,Corded Ware,-155.69,-148.45,110.46,6.75,338.94,Yes
Bell Beaker/Dnieper-Donets,Bell Beaker,Dnieper-Donets,-86.4,-84.04,13.36,-111.4,-59.22,Yes
Bell Beaker/Trichterbecher,Bell Beaker,Trichterbecher,-132.61,-133.95,38.38,149.21,315.77,Yes
Corded Ware/Linearbandkeramik,Corded Ware,Linearbandkeramik,-123.75,-94.54,106.59,37.35,6.83,No
Corded Ware/Lažňany,Corded Ware,Lažňany,-127.09,-103.6,107.48,21.43,351.94,Yes
Corded Ware/Sopot,Corded Ware,Sopot,108.73,76.93,141.91,-50.3,288.62,No
Corded Ware/Únětice,Corded Ware,Únětice,-126.72,-100.98,112.95,36.01,10.33,No
Corded Ware/Dnieper-Donets,Corded Ware,Dnieper-Donets,71.66,41.09,108.58,-60.78,270.09,No
Corded Ware/Trichterbecher,Corded Ware,Trichterbecher,23.55,10.88,114.69,-114.06,220.04,No
Dnieper-Donets/Linearbandkeramik,Dnieper-Donets,Linearbandkeramik,-48.45,-49.33,10.73,-69.62,-27.87,Yes
Dnieper-Donets/Lažňany,Dnieper-Donets,Lažňany,-55.54,-54.77,13.14,-81.06,-29.65,Yes
Dnieper-Donets/Sopot,Dnieper-Donets,Sopot,174.81,150.55,79.55,22.73,334.46,Yes
Dnieper-Donets/Únětice,Dnieper-Donets,Únětice,-58.2,-54.69,22.16,-100.38,-13.63,Yes
Dnieper-Donets/Trichterbecher,Dnieper-Donets,Trichterbecher,-46.74,-47.07,37.28,-124.96,37.49,No
Lažňany/Linearbandkeramik,Lažňany,Linearbandkeramik,7.09,3.95,11.91,-15.77,31.3,No
Lažňany/Sopot,Lažňany,Sopot,129.94,138.82,78.81,-36.28,274.72,No
Lažňany/Únětice,Lažňany,Únětice,2.86,-0.07,22.35,-42.83,45.42,No
Lažňany/Trichterbecher,Lažňany,Trichterbecher,-102.55,-101.31,37.67,178.19,343.17,Yes
Linearbandkeramik/Sopot,Linearbandkeramik,Sopot,137.68,130.2,78.11,-31.6,276.97,No
Linearbandkeramik/Únětice,Linearbandkeramik,Únětice,10.22,9.42,21.44,-31.13,52.67,No
Linearbandkeramik/Trichterbecher,Linearbandkeramik,Trichterbecher,-95.34,-102.66,36.96,-171.33,-8.46,Yes
Sopot/Únětice,Sopot,Únětice,-126.17,-122.93,81.29,85.63,38.49,No
Sopot/Trichterbecher,Sopot,Trichterbecher,129.1,119.43,86.8,-27.84,291.22,No
Trichterbecher/Únětice,Trichterbecher,Únětice,-104.57,-103.49,42.27,171.24,350.33,Yes
