Side,Framework,Effect,Mean,Lower,Upper
Left,Nakagawa (Latent Log-Odds),Culture Effect Alone,96.42,92.34,98.29
Left,Nakagawa (Latent Log-Odds),Spatiotemporal Process Alone,0.1,0,0.56
Left,Nakagawa (Latent Log-Odds),Full Model Fit,96.52,92.48,98.33
Left,Efron (Observed Probability),Culture Effect Alone,18.66,11.36,20.48
Left,Efron (Observed Probability),Spatiotemporal Process Alone,0,0,0
Left,Efron (Observed Probability),Full Model Fit,20.49,19.35,21.64
Left,Gelman (Model-Based Probability),Culture Effect Alone,22.53,17.83,30.72
Left,Gelman (Model-Based Probability),Spatiotemporal Process Alone,0.24,0,1.93
Left,Gelman (Model-Based Probability),Full Model Fit,21.68,18.02,25.12
Right,Nakagawa (Latent Log-Odds),Culture Effect Alone,93.46,82.89,97.46
Right,Nakagawa (Latent Log-Odds),Spatiotemporal Process Alone,0.13,0,0.86
Right,Nakagawa (Latent Log-Odds),Full Model Fit,93.6,83.21,97.61
Right,Efron (Observed Probability),Culture Effect Alone,20.17,10.92,21.79
Right,Efron (Observed Probability),Spatiotemporal Process Alone,0.01,0,0
Right,Efron (Observed Probability),Full Model Fit,21.67,20.51,22.86
Right,Gelman (Model-Based Probability),Culture Effect Alone,23.19,18.58,29.46
Right,Gelman (Model-Based Probability),Spatiotemporal Process Alone,0.21,0,2.56
Right,Gelman (Model-Based Probability),Full Model Fit,22.72,19.14,25.81
Back,Nakagawa (Latent Log-Odds),Culture Effect Alone,97.66,94.68,98.99
Back,Nakagawa (Latent Log-Odds),Spatiotemporal Process Alone,0.32,0,3.26
Back,Nakagawa (Latent Log-Odds),Full Model Fit,97.98,95.26,99.79
Back,Efron (Observed Probability),Culture Effect Alone,66.84,63.63,67.75
Back,Efron (Observed Probability),Spatiotemporal Process Alone,0,0,0
Back,Efron (Observed Probability),Full Model Fit,65.04,36.11,68.15
Back,Gelman (Model-Based Probability),Culture Effect Alone,70.47,57.91,94.8
Back,Gelman (Model-Based Probability),Spatiotemporal Process Alone,2.35,0,38.88
Back,Gelman (Model-Based Probability),Full Model Fit,67.45,54.92,93.01
