waic,dic,mlik,Model,Variable
912.377217660143,914.435259350152,-496.636923079064,baseline,Left
1245.43897463615,1233.9361853402,-485.900222035769,baseline + mobility + ancestry + culture,Left
932.807055052762,933.33942169218,-490.235349175586,baseline + mobility + ancestry,Left
890.478239180138,887.064182197302,-480.412099827387,baseline + ancestry + culture,Left
886.464086957505,883.437300829414,-475.164934574031,baseline + mobility + culture,Left
932.834988287435,933.477364386691,-485.85420620337,baseline + ancestry,Left
915.770041806653,917.565504141647,-500.347534008489,baseline + mobility,Left
885.405555461431,882.468101604505,-470.485060780063,baseline + culture,Left
850.451758729464,852.150508717639,-464.518704260556,baseline,Right
977.67642077208,969.196587921758,-452.837480159433,baseline + mobility + ancestry + culture,Right
844.258462737686,845.800089803189,-473.770401118556,baseline + mobility + ancestry,Right
826.697769242108,822.433462489837,-446.900967432409,baseline + ancestry + culture,Right
825.29425510936,822.112836974469,-444.010587076056,baseline + mobility + culture,Right
841.526415599317,843.153989290803,-468.978602504826,baseline + ancestry,Right
850.25771467582,852.044252812728,-469.785891378486,baseline + mobility,Right
824.568438188407,821.611213402232,-439.565808540737,baseline + culture,Right
193.061536712699,194.738781983769,-141.260287466013,baseline,Back
782.03569688345,510.250985955051,-118.992174929671,baseline + mobility + ancestry + culture,Back
196.757041710776,195.45990315461,-117.229553253416,baseline + mobility + ancestry,Back
183.91593019428,176.994852398619,-113.787822106525,baseline + ancestry + culture,Back
179.177803451152,175.363895312932,-111.953281551315,baseline + mobility + culture,Back
197.523546923858,197.603078762004,-114.530477879674,baseline + ancestry,Back
195.505382227612,196.948477506505,-145.820637965691,baseline + mobility,Back
177.630656328057,173.558609712128,-107.801369643004,baseline + culture,Back
