waic,dic,mlik,Model,Variable,deltaWAIC,colorWAIC,deltaDIC,colorDIC
1124.34068930316,1127.1620736925,-589.689295451455,baseline,Left,36.8311219530431,black,42.1792534045258,black
1446.29355757402,1379.27033136803,-589.936715315992,baseline + mobility + ancestry + culture,Left,358.783990223896,black,294.287511080054,black
1123.68843800725,1124.54525858401,-596.667844892359,baseline + mobility + ancestry,Left,36.1788706571288,black,39.5624382960359,black
1157.63363887375,1151.66189900228,-584.137713939055,baseline + ancestry + culture,Left,70.1240715236263,black,66.6790787143073,black
1088.55813183072,1085.95400282284,-578.59503657697,baseline + mobility + culture,Left,1.04856448060423,black,0.971182534868149,black
1122.24257871853,1123.20827126282,-591.044426858411,baseline + ancestry,Left,34.73301136841,black,38.2254509748414,black
1126.27636951966,1129.07938292287,-595.227367100505,baseline + mobility,Left,38.7668021695426,black,44.0965626348964,black
1087.50956735012,1084.98282028798,-573.469785404899,baseline + culture,Left,0,red,0,red
1083.18870857863,1085.38785847176,-565.37316685334,baseline,Right,37.3202874263734,black,42.2598278363928,black
1192.08056059725,1175.76970430273,-570.015322076698,baseline + mobility + ancestry + culture,Right,146.212139444997,black,132.641673667367,black
1082.66797381504,1083.07280006588,-578.862574410098,baseline + mobility + ancestry,Right,36.7995526627867,black,39.9447694305161,black
1056.30887447246,1051.7433504723,-563.919435994698,baseline + ancestry + culture,Right,10.440453320206,black,8.61531983694158,black
1047.03694271093,1044.27952089717,-558.986037815838,baseline + mobility + culture,Right,1.16852155867446,black,1.15149026180529,black
1080.9675051082,1081.39677896581,-573.371837040151,baseline + ancestry,Right,35.0990839559402,black,38.268748330443,black
1084.1403537554,1086.00117368337,-570.684687726454,baseline + mobility,Right,38.2719326031488,black,42.8731430480038,black
1045.86842115226,1043.12803063536,-553.824999785172,baseline + culture,Right,0,red,0,red
222.160491975567,226.421136502989,-137.661504234775,baseline,Back,4.27881109822735,black,5.96041503291659,black
4807.90144223944,843.677214717554,-145.414632495448,baseline + mobility + ancestry + culture,Back,4590.0197613621,black,623.216493247482,black
219.688932471359,222.149222029112,-142.683351335005,baseline + mobility + ancestry,Back,1.80725159401933,black,1.68850055903948,black
706.741780354737,327.513016489424,-140.429186859474,baseline + ancestry + culture,Back,488.860099477397,black,107.052295019352,black
295.344418148945,258.163383412442,-136.15970331191,baseline + mobility + culture,Back,77.4627372716049,black,37.7026619423693,black
217.88168087734,220.460721470072,-138.255596721426,baseline + ancestry,Back,0,red,0,red
223.498852887618,228.125069688821,-142.946219417158,baseline + mobility,Back,5.61717201027801,black,7.66434821874879,black
700.445206477686,308.141506540147,-131.954560491456,baseline + culture,Back,482.563525600346,black,87.6807850700744,black
