Side,Framework,Effect,Mean,Lower,Upper
Left,Nakagawa (Latent Log-Odds),NEOL Effect Alone,14.76,2.78,27.87
Left,Nakagawa (Latent Log-Odds),Spatiotemporal Process Alone,24.15,16.68,34.41
Left,Nakagawa (Latent Log-Odds),Full Model Fit,38.91,30.11,49.26
Left,Efron (Observed Probability),NEOL Effect Alone,3.65,0,11.14
Left,Efron (Observed Probability),Spatiotemporal Process Alone,16.14,5.55,23.42
Left,Efron (Observed Probability),Full Model Fit,25.12,23.53,26.72
Left,Gelman (Model-Based Probability),NEOL Effect Alone,10.43,2.3,20.45
Left,Gelman (Model-Based Probability),Spatiotemporal Process Alone,17.76,13.95,22.01
Left,Gelman (Model-Based Probability),Full Model Fit,24.36,21.02,27.74
Right,Nakagawa (Latent Log-Odds),Mobility Effect Alone,0.53,0,2.28
Right,Nakagawa (Latent Log-Odds),Spatiotemporal Process Alone,33.86,27.01,40.97
Right,Nakagawa (Latent Log-Odds),Full Model Fit,34.39,27.34,41.74
Right,Efron (Observed Probability),Mobility Effect Alone,0,0,0
Right,Efron (Observed Probability),Spatiotemporal Process Alone,20.64,18.78,22.31
Right,Efron (Observed Probability),Full Model Fit,20.85,19.05,22.52
Right,Gelman (Model-Based Probability),Mobility Effect Alone,0.43,0,2.06
Right,Gelman (Model-Based Probability),Spatiotemporal Process Alone,19.33,15.91,23.03
Right,Gelman (Model-Based Probability),Full Model Fit,18.58,15.48,21.58
Back,Nakagawa (Latent Log-Odds),No Fixed Predictor,0,0,0
Back,Nakagawa (Latent Log-Odds),Spatiotemporal Process Alone,64.83,58.23,71.02
Back,Nakagawa (Latent Log-Odds),Full Model Fit,64.83,58.23,71.02
Back,Efron (Observed Probability),No Fixed Predictor,0,0,0
Back,Efron (Observed Probability),Spatiotemporal Process Alone,62.79,60.62,64.82
Back,Efron (Observed Probability),Full Model Fit,62.79,60.62,64.82
Back,Gelman (Model-Based Probability),No Fixed Predictor,0,0,0
Back,Gelman (Model-Based Probability),Spatiotemporal Process Alone,59.07,53.98,63.94
Back,Gelman (Model-Based Probability),Full Model Fit,59.07,53.98,63.94
