Run,Performance,Model,Variable
1,0.675033025099075,Baseline,Left
2,0.665785997357992,Baseline,Left
3,0.682959048877147,Baseline,Left
4,0.677675033025099,Baseline,Left
5,0.653896961690885,Baseline,Left
6,0.69220607661823,Baseline,Left
7,0.69220607661823,Baseline,Left
8,0.67107001321004,Baseline,Left
9,0.702774108322325,Baseline,Left
10,0.681638044914135,Baseline,Left
11,0.678996036988111,Baseline,Left
12,0.652575957727873,Baseline,Left
13,0.667107001321004,Baseline,Left
14,0.701453104359313,Baseline,Left
15,0.68560105680317,Baseline,Left
16,0.639365918097754,Baseline,Left
17,0.678996036988111,Baseline,Left
18,0.64332892998679,Baseline,Left
19,0.67107001321004,Baseline,Left
20,0.66446499339498,Baseline,Left
21,0.682959048877147,Baseline,Left
22,0.678996036988111,Baseline,Left
23,0.668428005284016,Baseline,Left
24,0.690885072655218,Baseline,Left
25,0.678996036988111,Baseline,Left
26,0.639365918097754,Baseline,Left
27,0.686922060766182,Baseline,Left
28,0.688243064729194,Baseline,Left
29,0.663143989431968,Baseline,Left
30,0.690885072655218,Baseline,Left
31,0.663143989431968,Baseline,Left
32,0.676354029062087,Baseline,Left
33,0.689564068692206,Baseline,Left
34,0.673712021136064,Baseline,Left
35,0.676354029062087,Baseline,Left
36,0.676354029062087,Baseline,Left
37,0.659180977542933,Baseline,Left
38,0.682959048877147,Baseline,Left
39,0.704095112285337,Baseline,Left
40,0.686922060766182,Baseline,Left
41,0.682959048877147,Baseline,Left
42,0.663143989431968,Baseline,Left
43,0.693527080581242,Baseline,Left
44,0.63672391017173,Baseline,Left
45,0.684280052840158,Baseline,Left
46,0.672391017173052,Baseline,Left
47,0.686922060766182,Baseline,Left
48,0.682959048877147,Baseline,Left
49,0.676354029062087,Baseline,Left
50,0.66446499339498,Baseline,Left
51,0.688243064729194,Baseline,Left
52,0.645970937912814,Baseline,Left
53,0.677675033025099,Baseline,Left
54,0.704095112285337,Baseline,Left
55,0.693527080581242,Baseline,Left
56,0.656538969616909,Baseline,Left
57,0.668428005284016,Baseline,Left
58,0.649933949801849,Baseline,Left
59,0.700132100396301,Baseline,Left
60,0.657859973579921,Baseline,Left
61,0.675033025099075,Baseline,Left
62,0.656538969616909,Baseline,Left
63,0.677675033025099,Baseline,Left
64,0.678996036988111,Baseline,Left
65,0.656538969616909,Baseline,Left
66,0.700132100396301,Baseline,Left
67,0.66446499339498,Baseline,Left
68,0.669749009247028,Baseline,Left
69,0.682959048877147,Baseline,Left
70,0.696169088507266,Baseline,Left
71,0.705416116248349,Baseline,Left
72,0.663143989431968,Baseline,Left
73,0.686922060766182,Baseline,Left
74,0.706737120211361,Baseline,Left
75,0.696169088507266,Baseline,Left
76,0.678996036988111,Baseline,Left
77,0.69220607661823,Baseline,Left
78,0.675033025099075,Baseline,Left
79,0.69220607661823,Baseline,Left
80,0.676354029062087,Baseline,Left
81,0.672391017173052,Baseline,Left
82,0.697490092470277,Baseline,Left
83,0.684280052840158,Baseline,Left
84,0.693527080581242,Baseline,Left
85,0.676354029062087,Baseline,Left
86,0.706737120211361,Baseline,Left
87,0.67107001321004,Baseline,Left
88,0.656538969616909,Baseline,Left
89,0.682959048877147,Baseline,Left
90,0.665785997357992,Baseline,Left
91,0.66446499339498,Baseline,Left
92,0.689564068692206,Baseline,Left
93,0.669749009247028,Baseline,Left
94,0.696169088507266,Baseline,Left
95,0.66446499339498,Baseline,Left
96,0.66446499339498,Baseline,Left
97,0.680317040951123,Baseline,Left
98,0.686922060766182,Baseline,Left
99,0.659180977542933,Baseline,Left
100,0.686922060766182,Baseline,Left
1,0.718626155878468,Baseline,Right
2,0.702774108322325,Baseline,Right
3,0.706737120211361,Baseline,Right
4,0.705416116248349,Baseline,Right
5,0.708058124174373,Baseline,Right
6,0.715984147952444,Baseline,Right
7,0.727873183619551,Baseline,Right
8,0.708058124174373,Baseline,Right
9,0.706737120211361,Baseline,Right
10,0.696169088507266,Baseline,Right
11,0.710700132100396,Baseline,Right
12,0.733157199471599,Baseline,Right
13,0.632760898282695,Baseline,Right
14,0.704095112285337,Baseline,Right
15,0.712021136063408,Baseline,Right
16,0.705416116248349,Baseline,Right
17,0.714663143989432,Baseline,Right
18,0.712021136063408,Baseline,Right
19,0.721268163804492,Baseline,Right
20,0.698811096433289,Baseline,Right
21,0.704095112285337,Baseline,Right
22,0.690885072655218,Baseline,Right
23,0.73447820343461,Baseline,Right
24,0.705416116248349,Baseline,Right
25,0.701453104359313,Baseline,Right
26,0.708058124174373,Baseline,Right
27,0.702774108322325,Baseline,Right
28,0.71994715984148,Baseline,Right
29,0.693527080581242,Baseline,Right
30,0.731836195508587,Baseline,Right
31,0.715984147952444,Baseline,Right
32,0.717305151915456,Baseline,Right
33,0.702774108322325,Baseline,Right
34,0.705416116248349,Baseline,Right
35,0.682959048877147,Baseline,Right
36,0.700132100396301,Baseline,Right
37,0.706737120211361,Baseline,Right
38,0.725231175693527,Baseline,Right
39,0.708058124174373,Baseline,Right
40,0.698811096433289,Baseline,Right
41,0.71994715984148,Baseline,Right
42,0.700132100396301,Baseline,Right
43,0.708058124174373,Baseline,Right
44,0.701453104359313,Baseline,Right
45,0.715984147952444,Baseline,Right
46,0.710700132100396,Baseline,Right
47,0.688243064729194,Baseline,Right
48,0.738441215323646,Baseline,Right
49,0.684280052840158,Baseline,Right
50,0.715984147952444,Baseline,Right
51,0.702774108322325,Baseline,Right
52,0.701453104359313,Baseline,Right
53,0.722589167767503,Baseline,Right
54,0.731836195508587,Baseline,Right
55,0.708058124174373,Baseline,Right
56,0.718626155878468,Baseline,Right
57,0.715984147952444,Baseline,Right
58,0.682959048877147,Baseline,Right
59,0.700132100396301,Baseline,Right
60,0.718626155878468,Baseline,Right
61,0.697490092470277,Baseline,Right
62,0.706737120211361,Baseline,Right
63,0.717305151915456,Baseline,Right
64,0.684280052840158,Baseline,Right
65,0.684280052840158,Baseline,Right
66,0.712021136063408,Baseline,Right
67,0.702774108322325,Baseline,Right
68,0.709379128137385,Baseline,Right
69,0.717305151915456,Baseline,Right
70,0.69220607661823,Baseline,Right
71,0.71994715984148,Baseline,Right
72,0.706737120211361,Baseline,Right
73,0.723910171730515,Baseline,Right
74,0.704095112285337,Baseline,Right
75,0.718626155878468,Baseline,Right
76,0.698811096433289,Baseline,Right
77,0.704095112285337,Baseline,Right
78,0.717305151915456,Baseline,Right
79,0.727873183619551,Baseline,Right
80,0.715984147952444,Baseline,Right
81,0.667107001321004,Baseline,Right
82,0.730515191545575,Baseline,Right
83,0.702774108322325,Baseline,Right
84,0.700132100396301,Baseline,Right
85,0.712021136063408,Baseline,Right
86,0.693527080581242,Baseline,Right
87,0.700132100396301,Baseline,Right
88,0.723910171730515,Baseline,Right
89,0.712021136063408,Baseline,Right
90,0.721268163804492,Baseline,Right
91,0.700132100396301,Baseline,Right
92,0.702774108322325,Baseline,Right
93,0.731836195508587,Baseline,Right
94,0.702774108322325,Baseline,Right
95,0.701453104359313,Baseline,Right
96,0.71334214002642,Baseline,Right
97,0.696169088507266,Baseline,Right
98,0.715984147952444,Baseline,Right
99,0.702774108322325,Baseline,Right
100,0.688243064729194,Baseline,Right
1,0.911492734478203,Baseline,Back
2,0.900924702774108,Baseline,Back
3,0.90885072655218,Baseline,Back
4,0.926023778071334,Baseline,Back
5,0.898282694848085,Baseline,Back
6,0.920739762219287,Baseline,Back
