waic,dic,mlik,Model,Variable
1055.34743244039,1056.82421696906,-545.711560803965,baseline,Left
1052.9704082408,1053.63347716778,-556.493088411202,baseline + mobility + steppe ancestry + LVN,Left
1050.99084364624,1051.74615937853,-550.723298553138,baseline + steppe ancestry + LVN,Left
1056.1303056355,1057.38530746823,-550.604296420348,baseline + steppe ancestry,Left
1046.78644568623,1048.94133490728,-541.276679458554,baseline,Right
1052.56445332337,1054.5162340158,-555.567446947996,baseline + mobility + steppe ancestry + LVN,Right
1049.65937835863,1051.71963396681,-550.345014380055,baseline + steppe ancestry + LVN,Right
1047.94976063963,1049.9194966021,-546.565337384209,baseline + steppe ancestry,Right
198.970546719909,200.660026130215,-120.786446073313,baseline,Back
200.394434570723,200.709736338461,-127.774293015023,baseline + mobility + steppe ancestry + LVN,Back
197.871345803279,198.361038110033,-122.160721665455,baseline + steppe ancestry + LVN,Back
198.975440691947,200.811777043625,-126.664867458408,baseline + steppe ancestry,Back
