waic,dic,mlik,Model,Variable
1636.69552541328,1645.42809662553,-872.116589564135,baseline,Left
2481.17246580016,1794.17921422836,-885.696189879377,baseline + mobility + ancestry,Left
2104.09943291305,1966.06178269723,-880.368533503789,baseline + ancestry,Left
1635.85372581362,1642.97786347263,-878.206128635598,baseline + no WHG ancestry,Left
1636.26678011926,1643.21530148686,-883.881631252043,baseline + no WHG ancestry + mobility,Left
1635.63528922686,1644.44693120484,-875.345907433874,baseline + EHG,Left
1636.3537301858,1643.79934241986,-871.116255945391,baseline + WHG,Left
1638.67191733018,1646.75663726484,-874.984466696401,baseline + CHG,Left
1633.13823622593,1640.95930252655,-870.266738660075,baseline + LVN,Left
1637.52891078582,1646.17173364095,-877.096031362411,baseline + mobility,Left
1581.14198004816,1586.7303783714,-828.567347857092,baseline,Right
1576.8973210099,1581.73481267018,-845.544649782037,baseline + mobility + ancestry,Right
1576.39467823762,1581.43560502727,-840.436711649555,baseline + ancestry,Right
1582.75479020344,1587.99641665054,-841.31997958852,baseline + no WHG ancestry,Right
1582.48302145606,1587.90479625217,-846.760784298117,baseline + no WHG ancestry + mobility,Right
1581.89317311269,1587.62035951635,-833.188023390723,baseline + EHG,Right
1581.13944773385,1586.38524868399,-832.320183472085,baseline + WHG,Right
1581.56510479346,1587.19442268725,-833.074900140877,baseline + CHG,Right
1581.27736464137,1586.83823161883,-832.506465934402,baseline + LVN,Right
1580.24254856352,1585.99775888252,-833.401421559787,baseline + mobility,Right
634.239330716482,642.794786376752,-359.702811238918,baseline,Back
637.669139498147,646.088986249277,-378.413938619272,baseline + mobility + ancestry,Back
636.811452991032,645.633882283873,-372.824157316463,baseline + ancestry,Back
636.987381294717,645.643039093315,-373.5972532604,baseline + no WHG ancestry,Back
636.230963692258,644.630329965327,-374.996277107725,baseline + no WHG ancestry + mobility,Back
634.92358165447,643.593109004608,-364.325952163237,baseline + EHG,Back
635.623034982964,644.075584463507,-364.351828337114,baseline + WHG,Back
634.357620566687,643.051778758594,-363.447372681926,baseline + CHG,Back
635.900259767896,644.566473424662,-363.39338830001,baseline + LVN,Back
635.276471158673,644.338328694603,-364.511456598725,baseline + mobility,Back
